Date : 2024-04-20 15:49:52
Directory : c:\Proyectos en flutter\Sw2P1
Total : 70 files,  3208 codes, 183 comments, 395 blanks, all 3786 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         35 |      2,585 |        121 |        322 |      3,028 |
| XML        |         14 |        239 |         56 |         15 |        310 |
| JSON       |          3 |        142 |          0 |          3 |        145 |
| Groovy     |          3 |         86 |          3 |         18 |        107 |
| Markdown   |          2 |         48 |          0 |         17 |         65 |
| YAML       |          1 |         45 |          0 |          4 |         49 |
| SVG        |          7 |         35 |          0 |          7 |         42 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         70 |      3,208 |        183 |        395 |      3,786 |
| . (Files)                                                                                                             |          2 |         90 |          0 |         19 |        109 |
| android                                                                                                               |         17 |        265 |         58 |         33 |        356 |
| android (Files)                                                                                                       |          5 |         99 |          0 |         10 |        109 |
| android\app                                                                                                           |         11 |        161 |         57 |         22 |        240 |
| android\app (Files)                                                                                                   |          1 |         48 |          3 |         11 |         62 |
| android\app\src                                                                                                       |         10 |        113 |         54 |         11 |        178 |
| android\app\src\debug                                                                                                 |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                  |          8 |        105 |         48 |          9 |        162 |
| android\app\src\main (Files)                                                                                          |          1 |         33 |         16 |          2 |         51 |
| android\app\src\main\res                                                                                              |          7 |         72 |         32 |          7 |        111 |
| android\app\src\main\res\drawable                                                                                     |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                       |          2 |         17 |          9 |          2 |         28 |
| android\app\src\main\res\values-night                                                                                 |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                             |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                                                   |          1 |         12 |          7 |          1 |         20 |
