"filename", "language", "YAML", "Dart", "Markdown", "Swift", "C++", "XML", "JSON", "Properties", "Groovy", "SVG", "comment", "blank", "total"
"c:\Proyectos en flutter\Sw2P1\README.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60
"c:\Proyectos en flutter\Sw2P1\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 11, 62
"c:\Proyectos en flutter\Sw2P1\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 16, 2, 51
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 1, 20
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 1, 23
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 1, 20
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Proyectos en flutter\Sw2P1\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 1, 23
"c:\Proyectos en flutter\Sw2P1\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
